Date,Open,High,Low,Close,Volume,Adj Close
2016-06-03,20.610001,21.059999,20.58,20.889999,2325800,20.889999
2016-06-02,20.120001,20.68,20.110001,20.629999,1401300,20.629999
2016-06-01,20.469999,20.620001,19.959999,20.559999,1595800,20.559999
2016-05-31,20.059999,20.83,19.99,20.60,3345400,20.60
2016-05-27,19.889999,19.950001,19.73,19.91,1268200,19.91
2016-05-26,19.959999,20.370001,19.77,19.85,1356000,19.85
2016-05-25,19.690001,19.85,19.549999,19.77,1505300,19.77
2016-05-24,19.219999,19.51,19.129999,19.48,1215800,19.48
2016-05-23,19.190001,19.40,19.040001,19.16,1511400,19.16
2016-05-20,19.059999,19.25,18.99,19.219999,1519400,19.219999
2016-05-19,18.889999,19.049999,18.549999,18.99,3128800,18.99
2016-05-18,19.59,19.700001,19.030001,19.120001,1959900,19.120001
2016-05-17,19.610001,19.91,19.549999,19.690001,2065800,19.690001
2016-05-16,19.85,20.10,19.799999,19.809999,2092400,19.809999
2016-05-13,19.379999,19.76,19.370001,19.52,1476800,19.52
2016-05-12,19.809999,20.01,19.379999,19.58,1759800,19.58
2016-05-11,19.790001,19.860001,19.610001,19.690001,1909400,19.690001
2016-05-10,19.15,19.620001,18.98,19.59,2283900,19.59
2016-05-09,19.33,19.809999,18.99,19.24,4045100,19.24
2016-05-06,19.440001,20.08,19.200001,19.879999,3239800,19.879999
2016-05-05,20.059999,20.190001,19.74,19.969999,2918600,19.969999
2016-05-04,19.969999,20.32,19.74,19.969999,3714900,19.969999
2016-05-03,20.139999,20.299999,19.700001,20.18,2959300,20.18
2016-05-02,20.41,20.77,19.91,20.68,3999000,20.68
2016-04-29,19.93,20.67,19.870001,20.469999,5398100,20.469999
2016-04-28,19.549999,20.290001,19.309999,19.870001,8781300,19.870001
2016-04-27,18.129999,18.700001,18.00,18.530001,3406900,18.530001
2016-04-26,17.90,18.120001,17.74,18.110001,1884500,18.110001
2016-04-25,18.26,18.469999,17.68,17.860001,1926200,17.860001
2016-04-22,18.40,18.51,17.879999,18.08,1721400,18.08
2016-04-21,17.91,18.32,17.91,18.129999,3535200,18.129999
2016-04-20,17.549999,18.389999,17.42,18.209999,5267400,18.209999
2016-04-19,17.42,17.57,17.15,17.51,3392800,17.51
2016-04-18,16.200001,17.200001,16.040001,17.17,3031400,17.17
2016-04-15,16.74,16.82,16.52,16.59,1607700,16.59
2016-04-14,16.83,16.860001,16.43,16.84,2143500,16.84
2016-04-13,16.799999,17.24,16.66,16.75,4365700,16.75
2016-04-12,16.00,16.940001,15.85,16.76,4131100,16.76
2016-04-11,15.42,15.92,15.36,15.68,2576200,15.68
2016-04-08,15.40,15.57,14.90,15.05,3104300,15.05
2016-04-07,15.28,15.60,15.15,15.21,2708100,15.21
2016-04-06,15.14,15.49,14.96,15.45,1896000,15.45
2016-04-05,14.91,15.14,14.72,15.08,1444100,15.08
2016-04-04,15.28,15.34,15.00,15.06,1421800,15.06
2016-04-01,14.87,15.41,14.86,15.38,1802000,15.38
2016-03-31,15.45,15.50,15.12,15.32,1455200,15.32
2016-03-30,15.46,15.73,15.25,15.40,1821900,15.40
2016-03-29,14.80,15.36,14.60,15.29,1742300,15.29
2016-03-28,15.06,15.06,14.64,14.91,1175500,14.91
2016-03-24,14.72,15.12,14.62,15.08,2491100,15.08
2016-03-23,15.10,15.25,14.86,14.98,1835600,14.98
2016-03-22,14.96,15.32,14.81,15.27,1702700,15.27
2016-03-21,15.14,15.29,14.80,15.02,2517700,15.02
2016-03-18,15.42,15.57,15.10,15.19,2610500,15.19
2016-03-17,15.15,15.44,14.96,15.41,3033900,15.41
2016-03-16,14.08,15.11,14.08,15.06,2666000,15.06
2016-03-15,14.48,14.48,13.94,14.05,2141600,14.05
2016-03-14,14.18,14.78,14.11,14.74,3032900,14.74
2016-03-11,14.03,14.37,13.96,14.26,1942100,14.26
2016-03-10,14.01,14.03,13.42,13.63,1027200,13.63
2016-03-09,13.97,14.04,13.79,13.88,1547000,13.88
2016-03-08,14.32,14.39,13.57,13.72,2458900,13.72
2016-03-07,14.21,14.81,14.00,14.54,4177800,14.54
2016-03-04,13.96,14.49,13.57,14.48,3152200,14.48
2016-03-03,13.95,14.20,13.62,13.74,1631100,13.74
2016-03-02,13.35,14.18,13.35,14.18,2239500,14.18
2016-03-01,13.16,13.67,13.06,13.58,2279300,13.58
2016-02-29,13.14,13.14,12.83,12.92,1241500,12.92
2016-02-26,13.38,13.49,12.81,12.98,1580400,12.98
2016-02-25,12.99,13.15,12.68,12.88,1692800,12.88
2016-02-24,12.80,13.20,12.51,13.17,2373500,13.17
2016-02-23,13.21,13.29,12.88,12.91,1040000,12.91
2016-02-22,13.20,13.44,13.16,13.33,2041200,13.33
2016-02-19,12.83,12.92,12.55,12.67,3062700,12.67
2016-02-18,13.86,13.96,13.02,13.08,2349800,13.08
2016-02-17,14.00,14.00,13.59,13.64,2606200,13.64
2016-02-16,13.42,13.87,13.38,13.57,4063700,13.57
2016-02-12,12.83,13.14,12.45,12.95,2499800,12.95
2016-02-11,12.44,12.77,12.39,12.61,2071000,12.61
2016-02-10,12.67,12.99,12.48,12.78,1431400,12.78
2016-02-09,12.40,12.97,12.29,12.50,2879000,12.50
2016-02-08,12.88,12.88,12.43,12.77,2578800,12.77
2016-02-05,13.25,13.33,12.59,12.88,2730900,12.88
2016-02-04,13.59,13.98,13.41,13.55,2298500,13.55
2016-02-03,13.06,13.27,12.71,13.23,2898800,13.23
2016-02-02,13.10,13.17,12.67,12.78,1867100,12.78
2016-02-01,13.24,13.64,13.17,13.60,2012000,13.60
2016-01-29,13.37,13.61,13.19,13.42,2563700,13.42
2016-01-28,13.68,13.85,12.95,13.13,2897900,13.13
2016-01-27,13.37,13.73,13.13,13.22,2589600,13.22
2016-01-26,12.75,13.28,12.50,13.26,2364800,13.26
2016-01-25,12.86,12.90,12.41,12.57,1805300,12.57
2016-01-22,12.99,13.26,12.84,13.13,2507400,13.13
2016-01-21,11.68,12.36,11.62,12.18,2907500,12.18
2016-01-20,11.68,11.96,11.00,11.80,4922500,11.80
2016-01-19,12.50,12.51,11.76,11.93,2396200,11.93
2016-01-15,12.38,12.52,11.95,12.22,3542300,12.22
2016-01-14,12.99,13.37,12.62,13.18,2080500,13.18
2016-01-13,13.38,13.48,12.73,12.98,2277700,12.98
2016-01-12,13.13,13.19,12.73,13.09,2423200,13.09
2016-01-11,13.70,13.78,12.61,12.86,3908100,12.86
2016-01-08,14.40,14.48,13.37,13.42,2691300,13.42
2016-01-07,14.63,15.03,13.64,13.96,3417600,13.96
2016-01-06,15.04,15.06,14.69,14.97,4089500,14.97
2016-01-05,15.16,15.54,15.13,15.41,2422300,15.41
2016-01-04,15.25,15.29,14.51,15.22,3641800,15.22
